Id,date,PM10 in æg/m3,SO2 in æg/m3,NOx  in æg/m3, PM2.5  in æg/m3,Ammonia - NH3  in æg/m3,O3   in æg/m3,CO  in mg/m3, Benzene  in æg/m3,AQI
1,2024-08-30,174,26.4,35,79,25,107.6,0.9,0.7,149
2,2024-09-01,143,35.1,40.3,75,31,103,0.9,0.9,129
3,2024-09-02,142,32.1,30.9,59,26,80.7,0.8,0.5,128
4,2024-09-05,117,50.9,36.3,75,36,79.5,0.9,0.7,111
5,2024-09-07,,41.6,25.2,53,28,70,0.5,0.5,
6,2024-09-18,,35.5,21.2,25,26,38.8,0.3,0.6,
7,2024-09-19,111,38.9,21.5,29,30,24.4,0.3,0.7,106.7
8,2024-09-20,78,36,18.4,35,23,22.5,0.4,0.5,78.3
9,2024-09-22,86,30,22.3,39,20,35.2,0.4,0.4,86
10,2024-09-23,146,37.1,32.6,63,23,52.8,0.6,0.5,130
11,2024-09-25,,22.1,29.7,50,17,57.4,0.5,0.2,
12,2024-09-25,,13.1,38.5,72,19,63.5,0.8,0.3,
13,2024-09-28,,,,75,26,71.7,0.8,0.4,156
14,2024-09-30,178,17,37,53,23,54.1,0.7,0.3,118
15,2024-10-03,144,17.2,29.7,63,22,48.3,0.7,0.3,129
16,2024-10-15,159,16.5,30,44,20,38.7,0.5,0.2,109.4
17,2024-10-21,130,16.6,32.3,39,16.9,39.5,0.5,0.2,106.9
18,2024-10-21,121,16.8,32.9,27,27.9,18,0.7,0.3,79.6
19,2024-10-23,123,14.5,31.3,22,33,7.9,0.2,0.4,65.6
20,2024-10-25,171,16.5,28.8,19,24,12.6,0.3,0.2,75
21,2024-10-25,156,16,27.8,43,22,9.9,0.4,0.2,93
22,2024-10-26,125,16.5,27.3,63,14,18,0.5,0.1,127
23,2024-10-29,132,14.2,30.4,54,11,20.1,0.5,0.1,110.5
24,2024-10-30,139,14.3,29.8,67,11,19.3,0.6,0.1,135.9
25,2024-10-30,106,4.8,26,77,21,17.6,0.6,0.1,103.5
26,2024-11-02,106,6.1,29.5,56,16,18.9,0.6,0.1,103.5
27,2024-11-05,104,4.8,26,50,19,15.1,0.6,0.1,100.6
28,2024-11-05,99,5.5,28.2,39,14,31.6,0.5,0.1,97.3
29,2024-11-10,108,8.9,28.5,50,25,34.2,0.6,0.1,105.2
30,2024-11-10,104,8.9,29,31,26,24.9,0.4,0.1,101.5
31,2024-11-11,95,19.6,29.3,24,25,18,0.3,0.1,94
32,2024-11-12,100,29.7,27.5,25,34,21.4,0.4,0.1,99
33,2024-11-12,93,22.3,26.2,24,27,21.6,0.5,0.1,92.4
34,2024-11-16,91,9.8,27,37,22,29.7,0.5,0.1,90.6
35,2024-11-22,100,12,29.7,79,22,41.7,0.6,0.2,97.1
36,2024-11-24,108,5.1,30.7,73,20,33.5,0.6,0.2,105
37,2024-11-25,134,9,33.3,58,23,31.5,0.5,0.2,123
38,2024-11-25,131,9.1,37.1,44,21,26,0.4,0.3,120.7
39,2024-11-30,129,9,37.2,35,22,23.5,0.4,0.2,120
40,2024-12-01,,7.7,,27,23,26.4,0.3,0.1,
41,2024-12-02,122,12,25.3,30,32,24,0.4,0.3,115
42,2024-12-02,133,12,31.4,22,37,12,0.3,0.4,123
43,2024-12-04,129,10,28,18,23,7.8,0.3,0.3,119
44,2024-12-12,113,13.4,27.1,17,28,6.9,0.3,0.3,108
45,2024-12-17,79,22.5,28.1,23,32,25.9,0.3,0.5,78
46,2024-12-18,84,24.3,28.5,57,33,45.2,0.4,0.4,84
47,2024-12-20,102,11,32,59,17,47.2,0.4,0.2,101
48,2024-12-21,106,9.8,29.4,87,17,36.6,0.5,0.2,104
49,2024-12-26,104,4,30.9,74,22,21.7,0.5,0.2,102
50,2024-12-29,96,8.6,34.5,66,22,10.2,0.5,0.2,93
51,2025-01-07,105,12,31.6,67,24,2.4,0.5,0.3,103
52,2025-01-09,111,10.8,24.6,51,29,8.7,0.4,0.2,107
53,2025-01-10,82,8.4,28.9,26,21,6.1,0.3,0.1,81
54,2025-01-11,85,16.7,28.9,18,20,7.8,0.3,0.1,85
55,2025-01-12,83,18.8,27.3,12,20,8.7,0.3,0.1,83
56,2025-01-17,82,24.9,27,24,25,7.4,0.3,0.1,82
57,2025-01-18,85,24.8,28.5,19,20,4.7,0.4,0.1,85
58,2025-01-23,92,15.4,29.7,47,23,15.4,0.5,0,92
59,2025-01-24,97,9.4,29.9,49,21,15.5,0.5,0.03,96
60,2025-01-29,90,10.9,33.3,79,23,13.6,0.7,0.1,90
61,2025-01-31,87,13.2,29.2,62,16,14.6,0.54,0.05,146
62,2025-02-01,91,14,31,54,26,18.6,0.56,0.04,119
63,2025-02-01,86,14.8,32.4,62,35,12.6,0.72,0.05,137
64,2025-02-02,90,15.8,33.8,47,31,22.6,0.64,0.04,118
65,2025-02-04,87,13.3,36.5,42,29,5.3,0.78,0.04,123
66,2025-02-04,91,14.5,33.8,29,31,11.1,1.13,0.03,92
67,2025-02-07,76,9.3,30.3,23,26,15.7,0.69,0.03,58
68,2025-02-09,89,12,35,22,26,15.2,0.64,0.09,67
69,2025-02-14,92,13,37.3,30,31,10,0.7,0.06,76
70,2025-02-16,93,12,30.7,46,28,9.7,0.67,0.07,101
71,2025-02-19,87,10.4,28.2,78,30,12.1,1.52,0.03,166
72,2025-02-25,88,13,34.5,72,15,16.5,1.39,0.04,162
